CSCI 107,Joy and Beauty of Computing,33930,62,0,62,Paxton John T,MWF 1000-1050
CSCI 112,Programming with C I,31368,175,0,175,Cummings Mary A,MWF 0900-0950
CSCI 127,Joy and Beauty of Data,33832,155,0,155,DeFrance Daniel Louis,MWF 0900-0950
CSCI 132,Bsc Data Structures/Algorithms,30271,156,0,156,DeFrance Daniel Louis,MWF 1510-1600
CSCI 215,Social & Ethical Issues in CS,33931,60,0,60,Cummings Mary A,TR 1505-1555
CSCI 232,Data Structures and Algorithms,31508,128,0,128,Lloyd Hunter S,TR 1050-1205
CSCI 246,Discrete Structures,33580,84,0,84,Zhu Binhai,MWF 0800-0850
CSCI 305,Concepts/Programming Languages,30279,144,0,144,Lloyd Hunter S,MWF 0800-0850
CSCI 338,Computer Science Theory,30278,140,0,140,Zhu Binhai,MWF 1100-1150
CSCI 347,Data Mining,34852,75,0,75,Neeley Veronika,MWF 1310-1400
CSCI 366,Computer Systems,34889,60,0,60,Wittie Mike,MWF 0900-0950
CSCI 441,Computer Graphics,35118,65,0,65,Millman David,TR 1630-1745
CSCI 446,Artificial Intelligence,35119,63,0,63,Sheppard John W,TR 0925-1040
CSCI 455,Embedded Systems: Robotics,35117,84,0,84,Lloyd Hunter S,MWF 1200-1250
CSCI 468,Compilers,31511,80,0,80,Kahanda Indika M,MWF 1510-1600
